Ticker,Sector
AAL,Industrials
AAOI,Information Technology
AAON,Industrials
AAPL,Information Technology
ABAT,Industrials
ABCL,Health Care
ABL,Health Care
ABNB,Consumer Discretionary
ABP,Unknown
ABSI,Health Care
ABUS,Health Care
ABVC,Health Care
ABVE,Consumer Staples
ACAD,Health Care
ACB,Health Care
ACDC,Industrials
ACHC,Health Care
ACIU,Health Care
ACIW,Information Technology
ACLS,Information Technology
ACLX,Health Care
ACMR,Information Technology
ACNT,Materials
ACOG,Unknown
ACON,Health Care
ACRS,Health Care
ACTG,Industrials
ADBE,Information Technology
ADEA,Information Technology
ADGM,Health Care
ADI,Information Technology
ADMA,Health Care
ADN,Industrials
ADP,Information Technology
ADPT,Health Care
ADSK,Information Technology
ADTN,Information Technology
ADTX,Health Care
ADUR,Unknown
ADUS,Health Care
ADV,Communication Services
ADVM,Health Care
AEHR,Information Technology
AEI,Real Estate
AEIS,Information Technology
AENT,Consumer Discretionary
AEP,Utilities
AEVA,Consumer Discretionary
AEYE,Information Technology
AFRM,Financials
AFYA,Consumer Discretionary
AGAE,Communication Services
AGEN,Health Care
AGFY,Industrials
AGH,Unknown
AGIO,Health Care
AGRI,Consumer Staples
AGYS,Information Technology
AHCO,Health Care
AIFF,Unknown
AIHS,Financials
AIMD,Health Care
AIOT,Information Technology
AIP,Information Technology
AIRE,Real Estate
AIRG,Information Technology
AIRS,Health Care
AIRT,Industrials
AISP,Information Technology
AKAM,Information Technology
AKBA,Health Care
AKYA,Health Care
ALAB,Information Technology
ALBT,Industrials
ALCO,Consumer Staples
ALEC,Health Care
ALGM,Information Technology
ALGN,Health Care
ALGS,Health Care
ALGT,Industrials
ALHC,Health Care
ALKT,Information Technology
ALMS,Health Care
ALMU,Unknown
ALNT,Industrials
ALNY,Health Care
ALOT,Information Technology
ALRM,Information Technology
ALT,Health Care
ALTI,Financials
ALTO,Energy
ALTS,Unknown
AMAT,Information Technology
AMCX,Communication Services
AMD,Information Technology
AMED,Health Care
AMGN,Health Care
AMKR,Information Technology
AMLX,Health Care
AMPG,Unknown
AMPH,Health Care
AMPL,Information Technology
AMRK,Financials
AMRX,Health Care
AMSC,Industrials
AMTX,Energy
AMWD,Consumer Discretionary
AMZN,Consumer Discretionary
ANAB,Health Care
ANDE,Consumer Staples
ANGI,Communication Services
ANGO,Health Care
ANIK,Health Care
ANIP,Health Care
ANNA,Unknown
ANSS,Information Technology
ANY,Information Technology
AOSL,Information Technology
AOUT,Consumer Discretionary
APA,Energy
APDN,Health Care
APEI,Consumer Discretionary
APLD,Information Technology
APLS,Health Care
APLT,Health Care
APOG,Industrials
APP,Information Technology
APPF,Information Technology
APPN,Information Technology
APPS,Information Technology
APRE,Health Care
APWC,Industrials
APYX,Health Care
AQST,Health Care
ARCB,Industrials
ARCT,Health Care
ARDX,Health Care
AREB,Consumer Discretionary
AREC,Energy
ARHS,Consumer Discretionary
ARKO,Consumer Discretionary
ARKR,Consumer Discretionary
ARQ,Industrials
ARQT,Health Care
ARRY,Industrials
ARTNA,Utilities
ARTW,Industrials
ARVN,Health Care
ARWR,Health Care
ASLE,Industrials
ASMB,Health Care
ASNS,Information Technology
ASO,Consumer Discretionary
ASPI,Health Care
ASPS,Real Estate
ASRT,Health Care
ASST,Communication Services
ASTC,Industrials
ASTE,Industrials
ASTH,Health Care
ASTI,Energy
ASTL,Materials
ASTS,Communication Services
ASUR,Information Technology
ASYS,Information Technology
ATAI,Health Care
ATEC,Health Care
ATER,Consumer Discretionary
ATEX,Health Care
ATLN,Industrials
ATLX,Materials
ATNI,Communication Services
ATOM,Information Technology
ATPC,Consumer Staples
ATRA,Health Care
ATRC,Health Care
ATRO,Industrials
ATXG,Industrials
AUID,Information Technology
AUPH,Health Care
AVAH,Health Care
AVAV,Industrials
AVGO,Information Technology
AVNW,Information Technology
AVO,Consumer Staples
AVPT,Information Technology
AVR,Unknown
AVT,Information Technology
AVTX,Health Care
AWRE,Information Technology
AXGN,Health Care
AXON,Industrials
AXSM,Health Care
AXTI,Information Technology
AYRO,Consumer Discretionary
AYTU,Health Care
AZ,Health Care
AZTA,Health Care
BAER,Consumer Discretionary
BAND,Information Technology
BASE,Information Technology
BATRA,Communication Services
BATRK,Communication Services
BBCP,Industrials
BBGI,Communication Services
BBIO,Health Care
BBNX,Unknown
BBSI,Industrials
BCAB,Health Care
BCDA,Health Care
BCG,Financials
BCPC,Materials
BCRX,Health Care
BDSX,Health Care
BDTX,Health Care
BEAM,Health Care
BEEM,Energy
BEEP,Industrials
BELFA,Information Technology
BELFB,Information Technology
BENF,Real Estate
BETR,Consumer Discretionary
BFRI,Health Care
BGC,Financials
BGFV,Consumer Discretionary
BGLC,Health Care
BHST,Consumer Discretionary
BIAF,Information Technology
BIGC,Information Technology
BIIB,Health Care
BIOA,Health Care
BIRD,Consumer Discretionary
BITF,Financials
BJRI,Consumer Discretionary
BKNG,Consumer Discretionary
BKR,Energy
BKYI,Information Technology
BL,Information Technology
BLBD,Industrials
BLBX,Information Technology
BLDE,Industrials
BLDP,Energy
BLFS,Health Care
BLIN,Information Technology
BLKB,Information Technology
BLMN,Consumer Discretionary
BLNE,Information Technology
BLNK,Energy
BLZE,Information Technology
BMBL,Information Technology
BMRA,Health Care
BMRN,Health Care
BNAI,Information Technology
BNGO,Health Care
BNZI,Information Technology
BOF,Consumer Staples
BOLT,Health Care
BOOM,Industrials
BOXL,Information Technology
BPMC,Health Care
BRAG,Consumer Discretionary
BRFH,Consumer Staples
BRID,Consumer Staples
BRKR,Health Care
BRLS,Consumer Staples
BRLT,Consumer Discretionary
BRTX,Health Care
BRY,Energy
BRZE,Information Technology
BSET,Consumer Discretionary
BSGM,Health Care
BSLK,Unknown
BSY,Information Technology
BTAI,Health Care
BTBD,Consumer Discretionary
BTCS,Financials
BTM,Information Technology
BTMD,Health Care
BTOC,Industrials
BTSG,Health Care
BVS,Health Care
BWEN,Energy
BWIN,Financials
BWMN,Industrials
BYND,Consumer Staples
BYRN,Industrials
BZAI,Information Technology
BZFD,Communication Services
CAAS,Consumer Discretionary
CACC,Financials
CAKE,Consumer Discretionary
CALM,Consumer Staples
CAPR,Health Care
CAPS,Health Care
CAR,Consumer Discretionary
CARG,Consumer Discretionary
CARM,Health Care
CART,Consumer Discretionary
CASK,Industrials
CASY,Consumer Staples
CBRL,Consumer Discretionary
CBUS,Health Care
CCCC,Health Care
CCCS,Information Technology
CCEC,Industrials
CCLD,Information Technology
CCOI,Communication Services
CCRN,Health Care
CCSI,Communication Services
CDIO,Health Care
CDLX,Communication Services
CDNA,Health Care
CDNS,Information Technology
CDTX,Health Care
CDW,Information Technology
CDXS,Health Care
CDZI,Utilities
CEAD,Unknown
CECO,Industrials
CEG,Utilities
CELH,Consumer Staples
CELU,Health Care
CELZ,Health Care
CENN,Consumer Discretionary
CENT,Consumer Staples
CENTA,Consumer Staples
CENX,Materials
CERS,Health Care
CERT,Health Care
CETX,Information Technology
CETY,Industrials
CEVA,Information Technology
CFLT,Information Technology
CGC,Health Care
CGNX,Information Technology
CGON,Health Care
CHCI,Real Estate
CHDN,Consumer Discretionary
CHEF,Consumer Staples
CHRD,Energy
CHRS,Health Care
CHRW,Industrials
CHTR,Communication Services
CHX,Energy
CIFR,Financials
CIIT,Information Technology
CISO,Information Technology
CISS,Industrials
CJMB,Consumer Discretionary
CLAR,Consumer Discretionary
CLDX,Health Care
CLFD,Information Technology
CLIR,Industrials
CLMB,Information Technology
CLMT,Energy
CLNE,Energy
CLNN,Health Care
CLOV,Health Care
CLPT,Health Care
CLRO,Information Technology
CLSD,Health Care
CLSK,Information Technology
CMCO,Industrials
CMCSA,Communication Services
CMCT,Real Estate
CME,Financials
CMPO,Industrials
CMPX,Health Care
CMTL,Information Technology
CNDT,Information Technology
CNET,Communication Services
CNTY,Consumer Discretionary
CNVS,Communication Services
CNXC,Information Technology
CNXN,Information Technology
COCH,Health Care
COCO,Consumer Staples
CODA,Industrials
CODX,Health Care
COEP,Health Care
COHU,Information Technology
COIN,Financials
COKE,Consumer Staples
COLL,Health Care
COLM,Consumer Discretionary
COMM,Information Technology
COO,Health Care
COOP,Financials
CORT,Health Care
CORZ,Information Technology
COSM,Consumer Staples
COST,Consumer Staples
COYA,Health Care
CPB,Consumer Staples
CPHC,Consumer Discretionary
CPIX,Health Care
CPRT,Industrials
CPRX,Health Care
CPSH,Information Technology
CRAI,Industrials
CRBU,Health Care
CRCT,Consumer Discretionary
CRDF,Health Care
CREG,Utilities
CRESY,Consumer Staples
CREX,Information Technology
CRIS,Health Care
CRMD,Health Care
CRMT,Consumer Discretionary
CRNC,Information Technology
CRNX,Health Care
CRON,Health Care
CROX,Consumer Discretionary
CRSP,Health Care
CRSR,Information Technology
CRUS,Information Technology
CRVL,Financials
CRVO,Health Care
CRWD,Information Technology
CRWS,Consumer Discretionary
CRWV,Consumer Discretionary
CSBR,Health Care
CSCI,Information Technology
CSCO,Information Technology
CSGP,Real Estate
CSGS,Information Technology
CSIQ,Energy
CSPI,Information Technology
CSTL,Health Care
CSWI,Industrials
CSX,Industrials
CTAS,Industrials
CTKB,Health Care
CTLP,Information Technology
CTMX,Health Care
CTNT,Consumer Discretionary
CTRM,Industrials
CTRN,Consumer Discretionary
CTSH,Information Technology
CTSO,Health Care
CUE,Health Care
CURI,Communication Services
CVCO,Consumer Discretionary
CVGI,Industrials
CVGW,Consumer Staples
CVLT,Information Technology
CVRX,Health Care
CVV,Industrials
CWD,Financials
CWST,Industrials
CXAI,Information Technology
CXDO,Information Technology
CYCN,Health Care
CYCU,Health Care
CYN,Information Technology
CYRX,Health Care
CYTK,Health Care
CZR,Consumer Discretionary
DAIO,Information Technology
DAKT,Information Technology
DARE,Health Care
DASH,Consumer Discretionary
DATS,Information Technology
DAVE,Financials
DAWN,Health Care
DBX,Information Technology
DCBO,Information Technology
DCGO,Health Care
DCTH,Health Care
DDOG,Information Technology
DEFT,Health Care
DENN,Consumer Discretionary
DERM,Health Care
DEVS,Information Technology
DFDV,Industrials
DFLI,Industrials
DGII,Information Technology
DGLY,Unknown
DH,Health Care
DHAI,Information Technology
DHC,Real Estate
DIBS,Consumer Discretionary
DIOD,Information Technology
DJCO,Communication Services
DJT,Communication Services
DKNG,Consumer Discretionary
DLHC,Industrials
DLO,Financials
DLPN,Communication Services
DLTH,Consumer Discretionary
DLTR,Consumer Discretionary
DMRC,Information Technology
DNTH,Health Care
DNUT,Consumer Discretionary
DOCU,Information Technology
DOMH,Health Care
DOMO,Information Technology
DOOO,Consumer Discretionary
DORM,Consumer Discretionary
DPRO,Industrials
DPZ,Consumer Discretionary
DRCT,Communication Services
DRIO,Health Care
DRRX,Health Care
DRS,Industrials
DRVN,Consumer Discretionary
DSGR,Industrials
DSGX,Information Technology
DSP,Information Technology
DTI,Industrials
DTIL,Health Care
DTSS,Information Technology
DTST,Information Technology
DUOL,Consumer Discretionary
DUOT,Information Technology
DVAX,Health Care
DVLT,Consumer Discretionary
DWSN,Energy
DXCM,Health Care
DXLG,Consumer Discretionary
DXPE,Industrials
DYAI,Health Care
EA,Communication Services
EBAY,Consumer Discretionary
ECDA,Consumer Discretionary
ECOR,Health Care
ECPG,Financials
EDBL,Consumer Staples
EDIT,Health Care
EDRY,Industrials
EDUC,Consumer Discretionary
EEFT,Financials
EFOI,Industrials
EGAN,Information Technology
EGHT,Information Technology
EHLD,Health Care
EHTH,Financials
EKSO,Health Care
ELSE,Information Technology
ELUT,Health Care
EMBC,Health Care
EML,Industrials
ENPH,Information Technology
ENSC,Health Care
ENSG,Health Care
ENTA,Health Care
ENTG,Information Technology
ENVX,Industrials
EOLS,Health Care
EOSE,Energy
EPSN,Energy
EQ,Health Care
EQIX,Real Estate
ERII,Industrials
ERNA,Health Care
ESCA,Consumer Discretionary
ESEA,Industrials
ESOA,Industrials
ESPR,Health Care
ESTA,Health Care
ETON,Health Care
ETOR,Consumer Discretionary
ETSY,Consumer Discretionary
EU,Health Care
EVCM,Information Technology
EVER,Communication Services
EVGO,Consumer Discretionary
EVLV,Industrials
EVOK,Health Care
EVRG,Utilities
EVTV,Consumer Discretionary
EWCZ,Consumer Discretionary
EXAS,Health Care
EXC,Utilities
EXE,Information Technology
EXFY,Information Technology
EXLS,Information Technology
EXPE,Consumer Discretionary
EXPI,Real Estate
EXPO,Industrials
EXTR,Information Technology
EYE,Health Care
EYEN,Health Care
EYPT,Health Care
EZPW,Financials
FA,Industrials
FANG,Energy
FARM,Consumer Staples
FARO,Information Technology
FAST,Industrials
FAT,Consumer Discretionary
FATBB,Consumer Discretionary
FATE,Health Care
FATN,Health Care
FBIO,Health Care
FBYD,Consumer Discretionary
FCEL,Energy
FCFS,Financials
FCUV,Information Technology
FDMT,Health Care
FELE,Industrials
FEMY,Health Care
FENC,Health Care
FFAI,Health Care
FFIV,Information Technology
FGEN,Health Care
FGF,Financials
FHTX,Health Care
FIP,Industrials
FIVE,Consumer Discretionary
FIVN,Information Technology
FIZZ,Consumer Staples
FKWL,Information Technology
FLD,Health Care
FLGC,Health Care
FLGT,Health Care
FLL,Consumer Discretionary
FLNC,Energy
FLNT,Communication Services
FLUX,Industrials
FLWS,Consumer Discretionary
FLXS,Consumer Discretionary
FLYE,Consumer Discretionary
FLYW,Information Technology
FMTO,Consumer Discretionary
FNGR,Communication Services
FNKO,Consumer Discretionary
FOLD,Health Care
FONR,Health Care
FORA,Health Care
FORD,Consumer Discretionary
FORM,Information Technology
FORR,Information Technology
FOSL,Consumer Discretionary
FOX,Communication Services
FOXA,Communication Services
FOXF,Consumer Discretionary
FOXX,Industrials
FPAY,Financials
FRHC,Financials
FRPH,Real Estate
FRPT,Consumer Staples
FRSH,Information Technology
FSLR,Energy
FSTR,Industrials
FSV,Real Estate
FTAI,Industrials
FTCI,Energy
FTDR,Consumer Discretionary
FTEK,Industrials
FTFT,Financials
FTHM,Real Estate
FTLF,Consumer Staples
FTNT,Information Technology
FTRE,Health Care
FULC,Health Care
FWONA,Communication Services
FWONK,Communication Services
FWRD,Industrials
FWRG,Consumer Discretionary
FYBR,Communication Services
GAIA,Communication Services
GAME,Communication Services
GASS,Industrials
GBIO,Health Care
GCMG,Financials
GDEN,Consumer Discretionary
GDRX,Health Care
GDYN,Information Technology
GEG,Consumer Discretionary
GEHC,Health Care
GEN,Information Technology
GENK,Consumer Discretionary
GEOS,Energy
GERN,Health Care
GEVO,Energy
GH,Health Care
GIFI,Industrials
GIFT,Information Technology
GIII,Consumer Discretionary
GILD,Health Care
GIPR,Real Estate
GLBS,Industrials
GLDD,Industrials
GLNG,Energy
GLPI,Real Estate
GLUE,Health Care
GMGI,Consumer Discretionary
GNLN,Consumer Staples
GNSS,Information Technology
GO,Consumer Staples
GOCO,Financials
GOGL,Industrials
GOGO,Communication Services
GOOGL,Communication Services
GORV,Consumer Discretionary
GOSS,Health Care
GOVX,Health Care
GP,Consumer Discretionary
GPRE,Energy
GPRO,Consumer Discretionary
GRAL,Health Care
GREE,Financials
GRNQ,Information Technology
GROW,Financials
GRPN,Consumer Discretionary
GRWG,Industrials
GRYP,Consumer Discretionary
GSAT,Communication Services
GSIT,Information Technology
GT,Consumer Discretionary
GTIM,Consumer Discretionary
GTLB,Information Technology
GTM,Consumer Staples
GTX,Consumer Discretionary
GURE,Materials
GUTS,Health Care
GWAV,Information Technology
GWRS,Utilities
GYRE,Health Care
HAIN,Consumer Staples
HALO,Health Care
HAS,Consumer Discretionary
HBIO,Health Care
HCAT,Unknown
HCKT,Information Technology
HCSG,Industrials
HCTI,Information Technology
HCWB,Health Care
HDSN,Industrials
HEES,Industrials
HELE,Consumer Discretionary
HFFG,Consumer Staples
HGBL,Information Technology
HHS,Industrials
HIT,Consumer Discretionary
